Site ID,Lon,Lat,Vertical Rate (mm/yr),Vertical Rate - BOP corrected (mm/yr),1-sigma uncertainty (mm/yr),Number of obs,Quality Factor,Average distance between coastal point and observations,,,,,,,
183,173.737221,-35.038819,0.11844,0.11844,2.123872,212,3.666667,36.924347,,,,,,,
184,173.729083,-35.041379,0.00164,0.00164,2.139358,207,3.666667,36.918905,,,,,,,
185,173.726808,-35.047411,0.214932,0.214932,1.900023,245,3.666667,36.94714,,,,,,,
186,173.717296,-35.042642,0.095251,0.095251,2.11817,178,4,36.752625,,,,,,,
187,173.705379,-35.051503,-1.174091,-1.174091,1.668622,217,3.666667,36.972502,,,,,,,
188,173.697585,-35.056886,-1.185728,-1.185728,1.673761,293,3.666667,37.550999,,,,,,,
189,173.685449,-35.058974,-1.18746,-1.18746,1.369057,270,3.666667,37.583297,,,,,,,
190,173.687306,-35.06154,-1.189045,-1.189045,1.477625,405,3,38.118408,,,,,,,
191,173.686143,-35.070439,-1.208351,-1.208351,1.412746,492,3,37.634952,,,,,,,
192,173.694439,-35.06308,-1.204626,-1.204626,1.361685,466,3,38.000925,,,,,,,
193,173.702911,-35.054833,-1.184917,-1.184917,1.440369,273,3.666667,37.387553,,,,,,,
194,173.716028,-35.062952,-0.114317,-0.114317,2.048274,526,3,37.629953,,,,,,,
195,173.719923,-35.073894,-0.326269,-0.326269,1.896666,750,3,37.319564,,,,,,,
196,173.718141,-35.087246,-0.315802,-0.315802,2.172075,861,3,36.422707,,,,,,,
197,173.733395,-35.085082,-0.45215,-0.45215,1.878389,891,3,36.282071,,,,,,,
198,173.742637,-35.075416,-0.668435,-0.668435,2.132876,849,3,36.817832,,,,,,,
199,173.749622,-35.077427,-0.808129,-0.808129,1.909676,870,3,36.49597,,,,,,,
200,173.746564,-35.071494,-0.622119,-0.622119,2.056844,833,3,37.0463,,,,,,,
201,173.745701,-35.05737,0.008576,0.008576,2.075867,571,3,37.527826,,,,,,,
202,173.743413,-35.046997,0.084619,0.084619,2.196766,287,3.666667,36.868381,,,,,,,
